,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
"Bennett, Robert F (R-UT)",,,27098,25718,106112,3000,6000,126750,35250,16500,359600,,,,,,
"Kempthorne, Dirk (R-ID)",,,16500,3500,47595,,,,,,,,,,,,
"Braun, Carol Moseley (D-IL)",,,7750,22750,74664,,,,,,,,,,,,
"Mathews, Harlan (D-TN)",,,6750,,,,,,,,,,,,,,
"Boxer, Barbara (D-CA)",,,3900,12050,65001,,1450,37525,2400,83050,279239,,4250,,,,
"Murray, Patty (D-WA)",,,3300,8350,85089,6750,62300,148700,16700,118750,261465,17500,99100,253008,13828,40698,236444
"Gregg, Judd (R-NH)",,,3000,16322,36250,500,3500,114150,,1000,,,,,,,
"Kohl, Herb (D-WI)",,,1900,,,,,,1300,,,,,,,,
"Feingold, Russ (D-WI)",,,700,2050,21238,200,11000,50060,15250,15775,60510,,,,,,
"Dorgan, Byron L (D-ND)",,,-500,,100699,7618,33747,143401,31925,150750,378784,,,,,,
"Dole, Bob (R)",,,,1122052,,,,,,,,,,,,,
"Inhofe, James M (R-OK)",,,,284373,4000,118654,450115,51000,148200,813054,73479,218100,547425,65000,100189,555602,-2600
"Shelby, Richard C (R-AL)",,,,81750,179123,37000,49250,213050,2000,6000,161500,8350,25000,92550,5000,,-4000
"Abraham, Spencer (R-MI)",,,,48800,48427,458898,,,,,,,,,,,
"Santorum, Rick (R-PA)",,,,42425,119921,312372,38600,82200,941798,,,,,,,,
"Wyden, Ron (D-OR)",,,,39250,55760,-500,17700,57284,1000,23075,178691,84750,339980,211360,16214,52266,570477
"Frist, Bill (R-TN)",,,,30650,57900,104900,4000,,,,,,,,,,
"DeWine, Mike (R-OH)",,,,25205,71025,191099,28996,46250,441625,,,,,,,,
"Frahm, Sheila (R-KS)",,,,23000,,,,,,,,,,,,,
"Campbell, Ben Nighthorse (R-CO)",,,,13000,255372,8450,,130100,,,,,,,,,
"Thomas, Craig (R-WY)",,,,7650,18000,229996,4196,29948,297353,500,,,,,,,
"Grams, Rod (R-MN)",,,,4000,15970,214621,,,,,,,,,,,
"Ashcroft, John (R-MO)",,,,2000,13357,335721,,,,,,,,,,,
"Kyl, Jon (R-AZ)",,,,1000,22881,185299,5000,52750,433164,6000,23000,500,,,,,
"Brownback, Sam (R-KS)",,,,,144859,5000,14450,109740,8550,128965,4300,,,,,,
"Hagel, Chuck (R-NE)",,,,,117684,98679,179878,8000,15800,48960,,,,,,,
"Landrieu, Mary L (D-LA)",,,,,117400,103820,492349,63999,134710,568557,140400,366201,1424905,,,,
"Smith, Gordon H (R-OR)",,,,,49928,36600,236283,33750,112200,368629,,,,,,,
"Johnson, Tim (D-SD)",,,,,28911,30400,123976,25812,55951,219266,40600,46800,-3000,,,,
"Sessions, Jeff (R-AL)",,,,,26500,55550,199430,12600,15400,292471,2250,19000,151250,7200,,,
"Durbin, Dick (D-IL)",,,,,11350,36400,83850,,18000,155700,30750,25000,143650,15737,14552,110839,4410
"Enzi, Mike (R-WY)",,,,,8250,24850,148390,8500,14500,186650,9000,16000,317233,22500,10000,20300,
"Torricelli, Robert G (D-NJ)",,,,,6993,65250,128953,,,,,,,,,,
"Cleland, Max (D-GA)",,,,,5200,38950,125131,,,,,,,,,,
"Snowe, Olympia (R-ME)",,,,,4000,82650,1000,2000,106950,-1000,26300,87950,,,,,
"Collins, Susan M (R-ME)",,,,,3500,250,162250,,2500,195950,10750,9250,177913,8500,46825,579663,13600
